Work Center,Width (ft.),Depth (ft.),Current Dimension in X,Current Dimension in Y,Area (sqft.),Current Location From Left Wall,Current Location From Top Wall,12' Bar Feeder,4' Bar Feeder,Allow to Move
53011,22,4,4,22,88,140,7.5,Y,,
53012,22,4,4,22,88,131.5,7.5,Y,,
53013,22,4,4,22,88,122.5,7.5,Y,,
53020,22.5,4,4,22.5,90,170.5,45.5,Y,,
53022,22.5,4,4,22.5,90,177.5,45.5,Y,,
53024,22.5,4,4,22.5,90,163,45.5,Y,,
53030,29,5,5,29,145,147.5,47,Y,,
53031,29,5,5,29,145,136.5,47,Y,,
53032,29,5,5,29,145,126,47,Y,,
53112,17.5,3,3,17.5,52.5,76.5,6.5,Y,,N
53117,14.5,3,14.5,3,43.5,69.5,81,Y,,
53211,16.5,4,4,16.5,66,20.5,16.5,Y,,N
53212,18,4,4,18,72,28.5,15,Y,,N
53218,20,23,20,23,460,199,46.5,Y,,
53219,16,11,11,16,176,220,54,Y,,
53220,5,2.5,5,2.5,12.5,26,9.5,N,,
53221,5,2.5,5,2.5,12.5,21,0.5,N,,
53225,9,11,9,11,99,222.5,127,N,,
53226,3.5,3.5,3.5,3.5,12.25,199,113.5,N,,
53227,9,3.5,9,3.5,31.5,62,2,N,,
53229,3.5,3.5,3.5,3.5,12.25,219,113.5,N,,
53233,6,5,5,6,30,12.5,4.5,N,,
53234,5,3,3,5,15,143,165,N,,N
53237,4,2.5,2.5,4,10,143,156,N,,N
53240,10,8,8,10,80,80.5,25.5,N,,
53247,13.5,7,13.5,7,94.5,40,13,N,,
53248,8,7.5,7.5,8,60,46,26,N,,
53249,6.5,4.5,4.5,6.5,29.25,162,158.5,N,,
53250,7,5,5,7,35,38.5,26.5,N,,
53251,3,3,3,3,9,35.5,1.5,N,,
53252,6,2.5,6,2.5,15,48,1,N,,N
53256,15,16,16,15,240,73.5,224.5,N,,N
53259,14,25,14,25,350,56,7.5,N,,
53261,6.5,5.5,6.5,5.5,35.75,224,112,N,,
53262,9,10,9,10,90,166.5,261.5,N,,
53275,3,4,4,3,12,164.5,168,N,,
53283,5,2.5,2.5,5,12.5,219,132.5,N,,
53290,11.5,8,8,11.5,92,109,10,N,,
