Work Center,Current Dimension in X,Current Dimension in Y,Current Location From Left Wall,Current Location From Top Wall
Rod Room,120.5,88,240.5,0
Tool Crib,50,45.5,62,101
Tool Room,54,88,8,101
Maintenance/Automation,81.5,78.5,240.5,88
Maintenance Office,31,12,120,101
Quality,29,34,120,113
Crane Aisle,224,6.5,8,36
Left Wall Aisle,8,325,0,0
Shipping/Receiving Aisle,280,10,0,245
Receiving Bay Connecting Aisle,8.5,325,232,0
Chip Spinner Aisle,7,56,273,255
Chip Spinner Area,20,60,280,265
Water Reclaim Area,11.5,18,261.5,255
Shipping Doc/Inspection Area,54,32,8,255
Office Aisle,8.5,70,62,255
