Workcenter,Item Number,Item Desc.,OP,TBC,Setup Hours,Labor Hours,Machine Hrs,SOQ,Projected AU,Prev. AU,Material PN,Material QTY,Material Desc.,Standard Unit Cost,Rolling 12 Months Usage (Actual Sales),Part Weight,Number of Ops,Annual Material Use,MATSUMHLP,Pieces/Hour,Seconds/Piece,Number of Setups,Annual Hours,Annual Setup Hours,Annual Run Hours,Annual Run Hours Based on Rolling 12,Total Annual Hours Rolling 12,DWGA,DWGB
54110,  A008540-22SS,"*DCO2011-334 RING,SEAT SSTL",11,4,0,0.02,0.02,1,0,0,701884,0.169,"*DCO2011-334TUBE, 1.625 S30403",$650.77 ,0,0,2,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53630,  A008540-22SS,"*DCO2011-334 RING,SEAT SSTL",10,3,5.54,36.45,63.39,1,0,0,701884,0.169,"*DCO2011-334TUBE, 1.625 S30403",$650.77 ,0,0,2,0,0,15,228.2,0,0,0,0,0,0,LNKA,LNKB
53220,   452713-60,*DCO2012-213  DISC/ARM ASM,50,2,0.5,2,2,1,0,0,   452718-17,1,*DCO2012-479  SEAT DISC METAL,$338.33 ,0,0,1,0,0,50,72,0,0,0,0,0,0,LNKA,LNKB
53612,453262,*DCO2012-481 PLUG 12A-2000-5S,10,3,2.34,25,50,1,0,0,703381,0.825,"*DCO2017-380 ROD,RD 1.750 SSTL",$276.00 ,0,0,2,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
54110,453262,*DCO2012-481 PLUG 12A-2000-5S,11,4,0,0.02,0.02,1,0,0,703381,0.825,"*DCO2017-380 ROD,RD 1.750 SSTL",$276.00 ,0,0,2,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
52010,   003165D-1B,*DCO2013-108  BODY,5,2,1.08,0,0,1,0,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.00 ,0,1,16,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54130,   003165D-1B,*DCO2013-108  BODY,11,4,0,0.02,0.02,53855,14614,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.65 ,0,1,16,100.47,6.28,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
54130,   003165D-1B,*DCO2013-108  BODY,11,4,0,0.02,0.02,1,0,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.00 ,0,1,16,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53240,   003165D-1B,*DCO2013-108  BODY,30,2,0,0.04,0.03,53855,14614,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.65 ,0,1,16,100.47,6.28,3333,1.08,0,0,0,0,0,0,LNKA,LNKB
53240,   003165D-1B,*DCO2013-108  BODY,30,2,0,0.04,0.03,1,0,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.00 ,0,1,16,0,0,3333,1.08,0,0,0,0,0,0,LNKA,LNKB
52010,   003165D-1B,*DCO2013-108  BODY,5,2,1.08,0,0,53855,14614,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.65 ,0,1,16,100.47,6.28,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53348,   003165D-1B,*DCO2013-108  BODY,10,3,12.81,0.81,1.4,1,0,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.00 ,0,1,16,0,0,714,5.04,0,0,0,0,0,0,LNKA,LNKB
53348,   003165D-1B,*DCO2013-108  BODY,10,3,12.81,0.81,1.4,53855,14614,0,701273,0.11,"ROD,HEX 0.563 C36000   BRS",$0.65 ,0,1,16,100.47,6.28,714,5.04,0,0,0,0,0,0,LNKA,LNKB
51270,  A008890A-1B,"*DCO2013-133  BODY,LCB BLNK;RC",999,2,0,0,0,1,0,0,  A008890A-1C,1,"*DCO2013-133 CAST,BODY,BLNK;RC",$825.09 ,0,0,3,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110,  A008890A-1B,"*DCO2013-133  BODY,LCB BLNK;RC",11,4,0,0.02,0.02,1,0,0,  A008890A-1C,1,"*DCO2013-133 CAST,BODY,BLNK;RC",$825.09 ,0,0,3,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53880,  A008890A-1B,"*DCO2013-133  BODY,LCB BLNK;RC",10,3,6.84,256.29,445.71,1,0,0,  A008890A-1C,1,"*DCO2013-133 CAST,BODY,BLNK;RC",$825.09 ,0,0,3,0,0,2,1604.56,0,0,0,0,0,0,LNKA,LNKB
53230,   454010-10,*DCO2013-376  BODY MACHINING,25,2,0,2.5,2.5,1,0,0,451542,1,*DCO2013-376  BODY MACHINING,$243.12 ,0,0,3,0,0,40,90,0,0,0,0,0,0,LNKA,LNKB
54110,   454010-10,*DCO2013-376  BODY MACHINING,31,4,0,0.02,0.02,1,0,0,451542,1,*DCO2013-376  BODY MACHINING,$243.12 ,0,0,3,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53211,   454010-10,*DCO2013-376  BODY MACHINING,20,2,2,10,10,1,0,0,451542,1,*DCO2013-376  BODY MACHINING,$243.12 ,0,0,3,0,0,10,360,0,0,0,0,0,0,LNKA,LNKB
53290,   007579SF-9,*DCO2013-414 SEAT DISC/RET ASM,10,2,0,0.03,0.03,1,0,-99999999,   007579SF-10,1,"*DCO2013-414 RETAINER,SEAT,BRS",$0.00 ,0,0,1,0,0,3333,1.08,0,0,0,0,0,0,LNKA,LNKB
53225, XA003213R-17,"*DCO2013-426  STEM,POPPET",20,2,0.75,0.71,0.61,1,0,0, XA003213R-17B,1,"*DCO2013-426  STEM,POPPET",$391.94 ,0,0,1,0,0,163,21.96,0,0,0,0,0,0,LNKA,LNKB
51020,  A003214-1,"*DCO2014-256  BODY,DFE;INT VLV",30,2,0,0,0,1,0,0,  A003214-1B,1,"*DCO2014-256  BODY,DFE BLNK",$725.62 ,0,0,1,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53845,MVE000050-1,"*DCO2014-341  BODY, MACH; BRNZ",10,2,6,24.17,21.01,1,0,0,MVE000050-1C,1,"*DCO2014-341  CAST,BODY BRNZ",$726.76 ,0,0,2,0,0,4,756.36,0,0,0,0,0,0,LNKA,LNKB
54110,MVE000050-1,"*DCO2014-341  BODY, MACH; BRNZ",11,4,0,0.02,0.02,1,0,0,MVE000050-1C,1,"*DCO2014-341  CAST,BODY BRNZ",$726.76 ,0,0,2,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53638,   452759-10,"*DCO2014-454  MACH,BODY BRNZ",10,3,2.84,90.5,181,1,0,0,   453012-C,1,"*DCO2014-454 CAST,BODY;BRNZ",$680.55 ,0,0,2,0,0,5,651.6,0,0,0,0,0,0,LNKA,LNKB
53638,   452759-10,"*DCO2014-454  MACH,BODY BRNZ",20,3,2.84,50,100,1,0,0,   453012-C,1,"*DCO2014-454 CAST,BODY;BRNZ",$680.55 ,0,0,2,0,0,10,360,0,0,0,0,0,0,LNKA,LNKB
51020,12540,*DCO2015-046  AIR MOTOR,50,2,0,0,0,1,0,0,12656-125,1,*DCO2015-046  COLLET,"$1,426.06 ",0,0,2,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53220,12540,*DCO2015-046  AIR MOTOR,40,2,2,17,17,1,0,0,12656-125,1,*DCO2015-046  COLLET,"$1,426.06 ",0,0,2,0,0,5,612,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",20,2,2,5,5,1,0,0,12656-125,1,*DCO2015-046  COLLET,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",60,2,2,5,5,1,0,0,12656-125,1,*DCO2015-046  COLLET,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",20,2,2,5,5,1,0,0,12614,1,"*DCO2015-046 HOUSING,AIR MOTOR","$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",20,2,2,5,5,1,0,0,12609,1,*DCO2015-046  MALE NIPPLE,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",60,2,2,5,5,1,0,0,12606,1,*DCO2015-046  CONN ARM ASSY,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",60,2,2,5,5,1,0,0,12611,1,*DCO2015-046  LOCK NUT,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",60,2,2,5,5,1,0,0,12614,1,"*DCO2015-046 HOUSING,AIR MOTOR","$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
53220,12605,"*DCO2015-046  ATC-MAC,1""WEL",20,2,2,5,5,1,0,0,12611,1,*DCO2015-046  LOCK NUT,"$2,373.07 ",0,0,14,0,0,20,180,0,0,0,0,0,0,LNKA,LNKB
